county,town,office,district,party,candidate,votes
Chittenden,WILLISTON,President,,Libertarian,Gary Johnson,195
Chittenden,WINOOSKI,President,,Libertarian,Gary Johnson,78
Essex,BLOOMFIELD,President,,Libertarian,Gary Johnson,8
Essex,BRIGHTON,President,,Libertarian,Gary Johnson,17
Essex,BRUNSWICK,President,,Libertarian,Gary Johnson,2
Essex,CANAAN,President,,Libertarian,Gary Johnson,12
Essex,CONCORD,President,,Libertarian,Gary Johnson,30
Essex,EAST HAVEN,President,,Libertarian,Gary Johnson,2
Essex,GRANBY,President,,Libertarian,Gary Johnson,1
Essex,GUILDHALL,President,,Libertarian,Gary Johnson,10
Essex,LEMINGTON,President,,Libertarian,Gary Johnson,6
Essex,LUNENBURG,President,,Libertarian,Gary Johnson,20
Essex,MAIDSTONE,President,,Libertarian,Gary Johnson,6
Essex,NORTON,President,,Libertarian,Gary Johnson,4
Essex,VICTORY,President,,Libertarian,Gary Johnson,3
Franklin,BAKERSFIELD,President,,Libertarian,Gary Johnson,22
Franklin,BERKSHIRE,President,,Libertarian,Gary Johnson,26
Franklin,ENOSBURGH,President,,Libertarian,Gary Johnson,57
Franklin,FAIRFAX,President,,Libertarian,Gary Johnson,113
Franklin,FAIRFIELD,President,,Libertarian,Gary Johnson,41
Franklin,FLETCHER,President,,Libertarian,Gary Johnson,31
Franklin,FRANKLIN,President,,Libertarian,Gary Johnson,33
Franklin,GEORGIA,President,,Libertarian,Gary Johnson,90
Franklin,HIGHGATE,President,,Libertarian,Gary Johnson,42
Franklin,MONTGOMERY,President,,Libertarian,Gary Johnson,21
Franklin,RICHFORD,President,,Libertarian,Gary Johnson,21
Franklin,SAINT ALBANS CITY,President,,Libertarian,Gary Johnson,120
Franklin,SAINT ALBANS TOWN,President,,Libertarian,Gary Johnson,106
Franklin,SHELDON,President,,Libertarian,Gary Johnson,31
Franklin,SWANTON,President,,Libertarian,Gary Johnson,82
Grand Isle,ALBURGH,President,,Libertarian,Gary Johnson,29
Grand Isle,GRAND ISLE,President,,Libertarian,Gary Johnson,39
Grand Isle,ISLE LA MOTTE,President,,Libertarian,Gary Johnson,12
Grand Isle,NORTH HERO,President,,Libertarian,Gary Johnson,15
Grand Isle,SOUTH HERO,President,,Libertarian,Gary Johnson,36
Lamoille,BELVIDERE,President,,Libertarian,Gary Johnson,7
Lamoille,CAMBRIDGE,President,,Libertarian,Gary Johnson,89
Lamoille,EDEN,President,,Libertarian,Gary Johnson,17
Lamoille,ELMORE,President,,Libertarian,Gary Johnson,19
