county,town,office,district,party,candidate,votes
Addison,GRANVILLE,Attorney General,,Democratic,T.J. Donovan,103
Addison,HANCOCK,Attorney General,,Democratic,T.J. Donovan,102
Addison,LEICESTER,Attorney General,,Democratic,T.J. Donovan,273
Addison,LINCOLN,Attorney General,,Democratic,T.J. Donovan,558
Addison,MIDDLEBURY,Attorney General,,Democratic,T.J. Donovan,2690
Addison,MONKTON,Attorney General,,Democratic,T.J. Donovan,794
Addison,NEW HAVEN,Attorney General,,Democratic,T.J. Donovan,704
Addison,ORWELL,Attorney General,,Democratic,T.J. Donovan,346
Addison,PANTON,Attorney General,,Democratic,T.J. Donovan,216
Addison,RIPTON,Attorney General,,Democratic,T.J. Donovan,251
Addison,SALISBURY,Attorney General,,Democratic,T.J. Donovan,348
Addison,SHOREHAM,Attorney General,,Democratic,T.J. Donovan,401
Addison,STARKSBORO,Attorney General,,Democratic,T.J. Donovan,622
Addison,VERGENNES,Attorney General,,Democratic,T.J. Donovan,870
Addison,WALTHAM,Attorney General,,Democratic,T.J. Donovan,165
Addison,WEYBRIDGE,Attorney General,,Democratic,T.J. Donovan,423
Addison,WHITING,Attorney General,,Democratic,T.J. Donovan,130
Bennington,ARLINGTON,Attorney General,,Democratic,T.J. Donovan,647
Bennington,BENNINGTON,Attorney General,,Democratic,T.J. Donovan,3044
Bennington,DORSET,Attorney General,,Democratic,T.J. Donovan,590
Bennington,LANDGROVE,Attorney General,,Democratic,T.J. Donovan,49
Bennington,MANCHESTER,Attorney General,,Democratic,T.J. Donovan,1214
Bennington,PERU,Attorney General,,Democratic,T.J. Donovan,137
Bennington,POWNAL,Attorney General,,Democratic,T.J. Donovan,715
Bennington,READSBORO,Attorney General,,Democratic,T.J. Donovan,164
Bennington,RUPERT,Attorney General,,Democratic,T.J. Donovan,192
Bennington,SANDGATE,Attorney General,,Democratic,T.J. Donovan,101
Bennington,SEARSBURG,Attorney General,,Democratic,T.J. Donovan,15
Bennington,SHAFTSBURY,Attorney General,,Democratic,T.J. Donovan,853
Bennington,STAMFORD,Attorney General,,Democratic,T.J. Donovan,175
Bennington,SUNDERLAND,Attorney General,,Democratic,T.J. Donovan,252
Bennington,WINHALL,Attorney General,,Democratic,T.J. Donovan,264
Bennington,WOODFORD,Attorney General,,Democratic,T.J. Donovan,88
Caledonia,BARNET,Attorney General,,Democratic,T.J. Donovan,499
Caledonia,BURKE,Attorney General,,Democratic,T.J. Donovan,401
Caledonia,DANVILLE,Attorney General,,Democratic,T.J. Donovan,709
Caledonia,GROTON,Attorney General,,Democratic,T.J. Donovan,217
Caledonia,HARDWICK,Attorney General,,Democratic,T.J. Donovan,761
Caledonia,KIRBY,Attorney General,,Democratic,T.J. Donovan,149
Caledonia,LYNDON,Attorney General,,Democratic,T.J. Donovan,962
Caledonia,NEWARK,Attorney General,,Democratic,T.J. Donovan,140
Caledonia,PEACHAM,Attorney General,,Democratic,T.J. Donovan,278
Caledonia,RYEGATE,Attorney General,,Democratic,T.J. Donovan,293
Caledonia,SAINT JOHNSBURY,Attorney General,,Democratic,T.J. Donovan,1511
Caledonia,SHEFFIELD,Attorney General,,Democratic,T.J. Donovan,155
Caledonia,STANNARD,Attorney General,,Democratic,T.J. Donovan,66
Caledonia,SUTTON,Attorney General,,Democratic,T.J. Donovan,194
Caledonia,WALDEN,Attorney General,,Democratic,T.J. Donovan,268
Caledonia,WATERFORD,Attorney General,,Democratic,T.J. Donovan,336
Caledonia,WHEELOCK,Attorney General,,Democratic,T.J. Donovan,183
Chittenden,BOLTON,Attorney General,,Democratic,T.J. Donovan,474
Chittenden,BURLINGTON,Attorney General,,Democratic,T.J. Donovan,14941
Chittenden,CHARLOTTE,Attorney General,,Democratic,T.J. Donovan,1890
Chittenden,COLCHESTER,Attorney General,,Democratic,T.J. Donovan,5528
Chittenden,ESSEX,Attorney General,,Democratic,T.J. Donovan,7900
Chittenden,HINESBURG,Attorney General,,Democratic,T.J. Donovan,1978
Chittenden,HUNTINGTON,Attorney General,,Democratic,T.J. Donovan,964
Chittenden,JERICHO,Attorney General,,Democratic,T.J. Donovan,2247
Chittenden,MILTON,Attorney General,,Democratic,T.J. Donovan,3237
Chittenden,RICHMOND,Attorney General,,Democratic,T.J. Donovan,1855
Chittenden,SAINT GEORGE,Attorney General,,Democratic,T.J. Donovan,250
Chittenden,SHELBURNE,Attorney General,,Democratic,T.J. Donovan,3602
Chittenden,SOUTH BURLINGTON,Attorney General,,Democratic,T.J. Donovan,7957
Chittenden,UNDERHILL,Attorney General,,Democratic,T.J. Donovan,1363
Chittenden,WESTFORD,Attorney General,,Democratic,T.J. Donovan,832
Chittenden,WILLISTON,Attorney General,,Democratic,T.J. Donovan,3923
Chittenden,WINOOSKI,Attorney General,,Democratic,T.J. Donovan,2309
Essex,BLOOMFIELD,Attorney General,,Democratic,T.J. Donovan,54
Essex,BRIGHTON,Attorney General,,Democratic,T.J. Donovan,278
Essex,BRUNSWICK,Attorney General,,Democratic,T.J. Donovan,29
Essex,CANAAN,Attorney General,,Democratic,T.J. Donovan,197
Essex,CONCORD,Attorney General,,Democratic,T.J. Donovan,252
Essex,EAST HAVEN,Attorney General,,Democratic,T.J. Donovan,65
Essex,GRANBY,Attorney General,,Democratic,T.J. Donovan,21
Essex,GUILDHALL,Attorney General,,Democratic,T.J. Donovan,65
Essex,LEMINGTON,Attorney General,,Democratic,T.J. Donovan,20
Essex,LUNENBURG,Attorney General,,Democratic,T.J. Donovan,213
Essex,MAIDSTONE,Attorney General,,Democratic,T.J. Donovan,42
Essex,NORTON,Attorney General,,Democratic,T.J. Donovan,40
Essex,VICTORY,Attorney General,,Democratic,T.J. Donovan,32
Franklin,BAKERSFIELD,Attorney General,,Democratic,T.J. Donovan,369
Franklin,BERKSHIRE,Attorney General,,Democratic,T.J. Donovan,345
Franklin,ENOSBURGH,Attorney General,,Democratic,T.J. Donovan,772
Franklin,FAIRFAX,Attorney General,,Democratic,T.J. Donovan,1464
Franklin,FAIRFIELD,Attorney General,,Democratic,T.J. Donovan,640
Franklin,FLETCHER,Attorney General,,Democratic,T.J. Donovan,454
Franklin,FRANKLIN,Attorney General,,Democratic,T.J. Donovan,344
Franklin,GEORGIA,Attorney General,,Democratic,T.J. Donovan,1483
Franklin,HIGHGATE,Attorney General,,Democratic,T.J. Donovan,799
Franklin,MONTGOMERY,Attorney General,,Democratic,T.J. Donovan,399
Franklin,RICHFORD,Attorney General,,Democratic,T.J. Donovan,491
Franklin,SAINT ALBANS CITY,Attorney General,,Democratic,T.J. Donovan,1693
Franklin,SAINT ALBANS TOWN,Attorney General,,Democratic,T.J. Donovan,1977
Franklin,SHELDON,Attorney General,,Democratic,T.J. Donovan,510
Franklin,SWANTON,Attorney General,,Democratic,T.J. Donovan,1655
Grand Isle,ALBURGH,Attorney General,,Democratic,T.J. Donovan,544
Grand Isle,GRAND ISLE,Attorney General,,Democratic,T.J. Donovan,805
Grand Isle,ISLE LA MOTTE,Attorney General,,Democratic,T.J. Donovan,189
Grand Isle,NORTH HERO,Attorney General,,Democratic,T.J. Donovan,417
Grand Isle,SOUTH HERO,Attorney General,,Democratic,T.J. Donovan,810
Lamoille,BELVIDERE,Attorney General,,Democratic,T.J. Donovan,80
Lamoille,CAMBRIDGE,Attorney General,,Democratic,T.J. Donovan,1319
Lamoille,EDEN,Attorney General,,Democratic,T.J. Donovan,322
Lamoille,ELMORE,Attorney General,,Democratic,T.J. Donovan,350
Lamoille,HYDE PARK,Attorney General,,Democratic,T.J. Donovan,995
Lamoille,JOHNSON,Attorney General,,Democratic,T.J. Donovan,834
Lamoille,MORRISTOWN,Attorney General,,Democratic,T.J. Donovan,1798
Lamoille,STOWE,Attorney General,,Democratic,T.J. Donovan,1861
Lamoille,WATERVILLE,Attorney General,,Democratic,T.J. Donovan,223
Lamoille,WOLCOTT,Attorney General,,Democratic,T.J. Donovan,499
Orange,BRADFORD,Attorney General,,Democratic,T.J. Donovan,730
Orange,BRAINTREE,Attorney General,,Democratic,T.J. Donovan,340
Orange,BROOKFIELD,Attorney General,,Democratic,T.J. Donovan,454
Orange,CHELSEA,Attorney General,,Democratic,T.J. Donovan,331
Orange,CORINTH,Attorney General,,Democratic,T.J. Donovan,379
Orange,FAIRLEE,Attorney General,,Democratic,T.J. Donovan,367
Orange,NEWBURY,Attorney General,,Democratic,T.J. Donovan,602
Orange,ORANGE,Attorney General,,Democratic,T.J. Donovan,278
Orange,RANDOLPH,Attorney General,,Democratic,T.J. Donovan,1328
Orange,STRAFFORD,Attorney General,,Democratic,T.J. Donovan,523
Orange,THETFORD,Attorney General,,Democratic,T.J. Donovan,1144
Orange,TOPSHAM,Attorney General,,Democratic,T.J. Donovan,285
Orange,TUNBRIDGE,Attorney General,,Democratic,T.J. Donovan,436
Orange,VERSHIRE,Attorney General,,Democratic,T.J. Donovan,219
Orange,WASHINGTON,Attorney General,,Democratic,T.J. Donovan,316
Orange,WEST FAIRLEE,Attorney General,,Democratic,T.J. Donovan,184
Orange,WILLIAMSTOWN,Attorney General,,Democratic,T.J. Donovan,924
Orleans,ALBANY,Attorney General,,Democratic,T.J. Donovan,261
Orleans,BARTON,Attorney General,,Democratic,T.J. Donovan,566
Orleans,BROWNINGTON,Attorney General,,Democratic,T.J. Donovan,198
Orleans,CHARLESTON,Attorney General,,Democratic,T.J. Donovan,234
Orleans,COVENTRY,Attorney General,,Democratic,T.J. Donovan,304
Orleans,CRAFTSBURY,Attorney General,,Democratic,T.J. Donovan,450
Orleans,DERBY,Attorney General,,Democratic,T.J. Donovan,1161
Orleans,GLOVER,Attorney General,,Democratic,T.J. Donovan,332
Orleans,GREENSBORO,Attorney General,,Democratic,T.J. Donovan,257
Orleans,HOLLAND,Attorney General,,Democratic,T.J. Donovan,137
Orleans,IRASBURG,Attorney General,,Democratic,T.J. Donovan,289
Orleans,JAY,Attorney General,,Democratic,T.J. Donovan,151
Orleans,LOWELL,Attorney General,,Democratic,T.J. Donovan,204
Orleans,MORGAN,Attorney General,,Democratic,T.J. Donovan,148
Orleans,NEWPORT CITY,Attorney General,,Democratic,T.J. Donovan,892
Orleans,NEWPORT TOWN,Attorney General,,Democratic,T.J. Donovan,361
Orleans,TROY,Attorney General,,Democratic,T.J. Donovan,361
Orleans,WESTFIELD,Attorney General,,Democratic,T.J. Donovan,166
Orleans,WESTMORE,Attorney General,,Democratic,T.J. Donovan,102
Rutland,BENSON,Attorney General,,Democratic,T.J. Donovan,265
Rutland,BRANDON,Attorney General,,Democratic,T.J. Donovan,1100
Rutland,CASTLETON,Attorney General,,Democratic,T.J. Donovan,901
Rutland,CHITTENDEN,Attorney General,,Democratic,T.J. Donovan,376
Rutland,CLARENDON,Attorney General,,Democratic,T.J. Donovan,622
Rutland,DANBY,Attorney General,,Democratic,T.J. Donovan,291
Rutland,FAIR HAVEN,Attorney General,,Democratic,T.J. Donovan,619
Rutland,HUBBARDTON,Attorney General,,Democratic,T.J. Donovan,195
Rutland,IRA,Attorney General,,Democratic,T.J. Donovan,117
Rutland,KILLINGTON,Attorney General,,Democratic,T.J. Donovan,335
Rutland,MENDON,Attorney General,,Democratic,T.J. Donovan,315
Rutland,MIDDLETOWN SPRINGS,Attorney General,,Democratic,T.J. Donovan,265
Rutland,MOUNT HOLLY,Attorney General,,Democratic,T.J. Donovan,383
Rutland,MOUNT TABOR,Attorney General,,Democratic,T.J. Donovan,50
Rutland,PAWLET,Attorney General,,Democratic,T.J. Donovan,389
Rutland,PITTSFIELD,Attorney General,,Democratic,T.J. Donovan,170
Rutland,PITTSFORD,Attorney General,,Democratic,T.J. Donovan,800
Rutland,POULTNEY,Attorney General,,Democratic,T.J. Donovan,754
Rutland,PROCTOR,Attorney General,,Democratic,T.J. Donovan,484
Rutland,RUTLAND CITY,Attorney General,,Democratic,T.J. Donovan,4160
Rutland,RUTLAND TOWN,Attorney General,,Democratic,T.J. Donovan,1239
Rutland,SHREWSBURY,Attorney General,,Democratic,T.J. Donovan,375
Rutland,SUDBURY,Attorney General,,Democratic,T.J. Donovan,203
Rutland,TINMOUTH,Attorney General,,Democratic,T.J. Donovan,161
Rutland,WALLINGFORD,Attorney General,,Democratic,T.J. Donovan,575
Rutland,WELLS,Attorney General,,Democratic,T.J. Donovan,239
Rutland,WEST HAVEN,Attorney General,,Democratic,T.J. Donovan,74
Rutland,WEST RUTLAND,Attorney General,,Democratic,T.J. Donovan,520
Washington,BARRE CITY,Attorney General,,Democratic,T.J. Donovan,2074
Washington,BARRE TOWN,Attorney General,,Democratic,T.J. Donovan,2528
Washington,BERLIN,Attorney General,,Democratic,T.J. Donovan,874
Washington,CABOT,Attorney General,,Democratic,T.J. Donovan,460
Washington,CALAIS,Attorney General,,Democratic,T.J. Donovan,737
Washington,DUXBURY,Attorney General,,Democratic,T.J. Donovan,530
Washington,EAST MONTPELIER,Attorney General,,Democratic,T.J. Donovan,1172
Washington,FAYSTON,Attorney General,,Democratic,T.J. Donovan,567
Washington,MARSHFIELD,Attorney General,,Democratic,T.J. Donovan,533
Washington,MIDDLESEX,Attorney General,,Democratic,T.J. Donovan,805
Washington,MONTPELIER,Attorney General,,Democratic,T.J. Donovan,3798
Washington,MORETOWN,Attorney General,,Democratic,T.J. Donovan,728
Washington,NORTHFIELD,Attorney General,,Democratic,T.J. Donovan,1426
Washington,PLAINFIELD,Attorney General,,Democratic,T.J. Donovan,485
Washington,ROXBURY,Attorney General,,Democratic,T.J. Donovan,242
Washington,WAITSFIELD,Attorney General,,Democratic,T.J. Donovan,772
Washington,WARREN,Attorney General,,Democratic,T.J. Donovan,739
Washington,WATERBURY,Attorney General,,Democratic,T.J. Donovan,2203
Washington,WOODBURY,Attorney General,,Democratic,T.J. Donovan,358
Washington,WORCESTER,Attorney General,,Democratic,T.J. Donovan,433
Windham,ATHENS,Attorney General,,Democratic,T.J. Donovan,76
Windham,BRATTLEBORO,Attorney General,,Democratic,T.J. Donovan,4118
Windham,BROOKLINE,Attorney General,,Democratic,T.J. Donovan,175
Windham,DOVER,Attorney General,,Democratic,T.J. Donovan,368
Windham,DUMMERSTON,Attorney General,,Democratic,T.J. Donovan,765
Windham,GRAFTON,Attorney General,,Democratic,T.J. Donovan,188
Windham,GUILFORD,Attorney General,,Democratic,T.J. Donovan,729
Windham,HALIFAX,Attorney General,,Democratic,T.J. Donovan,195
Windham,JAMAICA,Attorney General,,Democratic,T.J. Donovan,306
Windham,LONDONDERRY,Attorney General,,Democratic,T.J. Donovan,482
Windham,MARLBORO,Attorney General,,Democratic,T.J. Donovan,416
Windham,NEWFANE,Attorney General,,Democratic,T.J. Donovan,645
Windham,PUTNEY,Attorney General,,Democratic,T.J. Donovan,920
Windham,ROCKINGHAM,Attorney General,,Democratic,T.J. Donovan,1324
Windham,STRATTON,Attorney General,,Democratic,T.J. Donovan,53
Windham,TOWNSHEND,Attorney General,,Democratic,T.J. Donovan,402
Windham,VERNON,Attorney General,,Democratic,T.J. Donovan,463
Windham,WARDSBORO,Attorney General,,Democratic,T.J. Donovan,209
Windham,WESTMINSTER,Attorney General,,Democratic,T.J. Donovan,998
Windham,WHITINGHAM,Attorney General,,Democratic,T.J. Donovan,269
Windham,WILMINGTON,Attorney General,,Democratic,T.J. Donovan,528
Windham,WINDHAM,Attorney General,,Democratic,T.J. Donovan,147
Windsor,ANDOVER,Attorney General,,Democratic,T.J. Donovan,183
Windsor,BALTIMORE,Attorney General,,Democratic,T.J. Donovan,65
Windsor,BARNARD,Attorney General,,Democratic,T.J. Donovan,327
Windsor,BETHEL,Attorney General,,Democratic,T.J. Donovan,633
Windsor,BRIDGEWATER,Attorney General,,Democratic,T.J. Donovan,304
Windsor,CAVENDISH,Attorney General,,Democratic,T.J. Donovan,350
Windsor,CHESTER,Attorney General,,Democratic,T.J. Donovan,870
Windsor,HARTFORD,Attorney General,,Democratic,T.J. Donovan,3179
Windsor,HARTLAND,Attorney General,,Democratic,T.J. Donovan,1209
Windsor,LUDLOW,Attorney General,,Democratic,T.J. Donovan,574
Windsor,NORWICH,Attorney General,,Democratic,T.J. Donovan,1782
Windsor,PLYMOUTH,Attorney General,,Democratic,T.J. Donovan,176
Windsor,POMFRET,Attorney General,,Democratic,T.J. Donovan,403
Windsor,READING,Attorney General,,Democratic,T.J. Donovan,206
Windsor,ROCHESTER,Attorney General,,Democratic,T.J. Donovan,431
Windsor,ROYALTON,Attorney General,,Democratic,T.J. Donovan,778
Windsor,SHARON,Attorney General,,Democratic,T.J. Donovan,485
Windsor,SPRINGFIELD,Attorney General,,Democratic,T.J. Donovan,2052
Windsor,STOCKBRIDGE,Attorney General,,Democratic,T.J. Donovan,250
Windsor,WEATHERSFIELD,Attorney General,,Democratic,T.J. Donovan,801
Windsor,WEST WINDSOR,Attorney General,,Democratic,T.J. Donovan,438
Windsor,WESTON,Attorney General,,Democratic,T.J. Donovan,250
Windsor,WINDSOR,Attorney General,,Democratic,T.J. Donovan,1055
Windsor,WOODSTOCK,Attorney General,,Democratic,T.J. Donovan,1225
Addison,ADDISON,Attorney General,,Liberty Union,Rosemarie Jackowski,16
Addison,BRIDPORT,Attorney General,,Liberty Union,Rosemarie Jackowski,6
Addison,BRISTOL,Attorney General,,Liberty Union,Rosemarie Jackowski,76
Addison,CORNWALL,Attorney General,,Liberty Union,Rosemarie Jackowski,14
Addison,FERRISBURGH,Attorney General,,Liberty Union,Rosemarie Jackowski,26
Addison,GOSHEN,Attorney General,,Liberty Union,Rosemarie Jackowski,5
Addison,GRANVILLE,Attorney General,,Liberty Union,Rosemarie Jackowski,7
Addison,HANCOCK,Attorney General,,Liberty Union,Rosemarie Jackowski,8
Addison,LEICESTER,Attorney General,,Liberty Union,Rosemarie Jackowski,19
Addison,LINCOLN,Attorney General,,Liberty Union,Rosemarie Jackowski,26
Addison,MIDDLEBURY,Attorney General,,Liberty Union,Rosemarie Jackowski,117
Addison,MONKTON,Attorney General,,Liberty Union,Rosemarie Jackowski,38
Addison,NEW HAVEN,Attorney General,,Liberty Union,Rosemarie Jackowski,19
Addison,ORWELL,Attorney General,,Liberty Union,Rosemarie Jackowski,17
Addison,PANTON,Attorney General,,Liberty Union,Rosemarie Jackowski,6
Addison,RIPTON,Attorney General,,Liberty Union,Rosemarie Jackowski,7
Addison,SALISBURY,Attorney General,,Liberty Union,Rosemarie Jackowski,18
Addison,SHOREHAM,Attorney General,,Liberty Union,Rosemarie Jackowski,15
Addison,STARKSBORO,Attorney General,,Liberty Union,Rosemarie Jackowski,28
Addison,VERGENNES,Attorney General,,Liberty Union,Rosemarie Jackowski,35
Addison,WALTHAM,Attorney General,,Liberty Union,Rosemarie Jackowski,5
Addison,WEYBRIDGE,Attorney General,,Liberty Union,Rosemarie Jackowski,10
Addison,WHITING,Attorney General,,Liberty Union,Rosemarie Jackowski,7
Bennington,ARLINGTON,Attorney General,,Liberty Union,Rosemarie Jackowski,100
Bennington,BENNINGTON,Attorney General,,Liberty Union,Rosemarie Jackowski,926
Bennington,DORSET,Attorney General,,Liberty Union,Rosemarie Jackowski,70
Bennington,LANDGROVE,Attorney General,,Liberty Union,Rosemarie Jackowski,4
Bennington,MANCHESTER,Attorney General,,Liberty Union,Rosemarie Jackowski,133
Bennington,PERU,Attorney General,,Liberty Union,Rosemarie Jackowski,10
Bennington,POWNAL,Attorney General,,Liberty Union,Rosemarie Jackowski,249
Bennington,READSBORO,Attorney General,,Liberty Union,Rosemarie Jackowski,45
Bennington,RUPERT,Attorney General,,Liberty Union,Rosemarie Jackowski,28
Bennington,SANDGATE,Attorney General,,Liberty Union,Rosemarie Jackowski,19
Bennington,SEARSBURG,Attorney General,,Liberty Union,Rosemarie Jackowski,12
Bennington,SHAFTSBURY,Attorney General,,Liberty Union,Rosemarie Jackowski,212
Bennington,STAMFORD,Attorney General,,Liberty Union,Rosemarie Jackowski,44
Bennington,SUNDERLAND,Attorney General,,Liberty Union,Rosemarie Jackowski,38
Bennington,WINHALL,Attorney General,,Liberty Union,Rosemarie Jackowski,24
Bennington,WOODFORD,Attorney General,,Liberty Union,Rosemarie Jackowski,22
Caledonia,BARNET,Attorney General,,Liberty Union,Rosemarie Jackowski,31
Caledonia,BURKE,Attorney General,,Liberty Union,Rosemarie Jackowski,27
Caledonia,DANVILLE,Attorney General,,Liberty Union,Rosemarie Jackowski,39
Caledonia,GROTON,Attorney General,,Liberty Union,Rosemarie Jackowski,17
Caledonia,HARDWICK,Attorney General,,Liberty Union,Rosemarie Jackowski,46
Caledonia,KIRBY,Attorney General,,Liberty Union,Rosemarie Jackowski,9
Caledonia,LYNDON,Attorney General,,Liberty Union,Rosemarie Jackowski,70
Caledonia,NEWARK,Attorney General,,Liberty Union,Rosemarie Jackowski,10
Caledonia,PEACHAM,Attorney General,,Liberty Union,Rosemarie Jackowski,13
Caledonia,RYEGATE,Attorney General,,Liberty Union,Rosemarie Jackowski,8
Caledonia,SAINT JOHNSBURY,Attorney General,,Liberty Union,Rosemarie Jackowski,95
Caledonia,SHEFFIELD,Attorney General,,Liberty Union,Rosemarie Jackowski,13
Caledonia,STANNARD,Attorney General,,Liberty Union,Rosemarie Jackowski,4
Caledonia,SUTTON,Attorney General,,Liberty Union,Rosemarie Jackowski,10
Caledonia,WALDEN,Attorney General,,Liberty Union,Rosemarie Jackowski,13
Caledonia,WATERFORD,Attorney General,,Liberty Union,Rosemarie Jackowski,14
Caledonia,WHEELOCK,Attorney General,,Liberty Union,Rosemarie Jackowski,14
Chittenden,BOLTON,Attorney General,,Liberty Union,Rosemarie Jackowski,17
Chittenden,BURLINGTON,Attorney General,,Liberty Union,Rosemarie Jackowski,715
Chittenden,CHARLOTTE,Attorney General,,Liberty Union,Rosemarie Jackowski,45
Chittenden,COLCHESTER,Attorney General,,Liberty Union,Rosemarie Jackowski,205
Chittenden,ESSEX,Attorney General,,Liberty Union,Rosemarie Jackowski,216
Chittenden,HINESBURG,Attorney General,,Liberty Union,Rosemarie Jackowski,71
Chittenden,HUNTINGTON,Attorney General,,Liberty Union,Rosemarie Jackowski,39
Chittenden,JERICHO,Attorney General,,Liberty Union,Rosemarie Jackowski,68
Chittenden,MILTON,Attorney General,,Liberty Union,Rosemarie Jackowski,126
Chittenden,RICHMOND,Attorney General,,Liberty Union,Rosemarie Jackowski,61
Chittenden,SAINT GEORGE,Attorney General,,Liberty Union,Rosemarie Jackowski,9
Chittenden,SHELBURNE,Attorney General,,Liberty Union,Rosemarie Jackowski,80
Chittenden,SOUTH BURLINGTON,Attorney General,,Liberty Union,Rosemarie Jackowski,199
Chittenden,UNDERHILL,Attorney General,,Liberty Union,Rosemarie Jackowski,35
Chittenden,WESTFORD,Attorney General,,Liberty Union,Rosemarie Jackowski,30
Chittenden,WILLISTON,Attorney General,,Liberty Union,Rosemarie Jackowski,96
Chittenden,WINOOSKI,Attorney General,,Liberty Union,Rosemarie Jackowski,122
Essex,BLOOMFIELD,Attorney General,,Liberty Union,Rosemarie Jackowski,7
Essex,BRIGHTON,Attorney General,,Liberty Union,Rosemarie Jackowski,27
Essex,BRUNSWICK,Attorney General,,Liberty Union,Rosemarie Jackowski,1
Essex,CANAAN,Attorney General,,Liberty Union,Rosemarie Jackowski,24
Essex,CONCORD,Attorney General,,Liberty Union,Rosemarie Jackowski,27
Essex,EAST HAVEN,Attorney General,,Liberty Union,Rosemarie Jackowski,9
Essex,GRANBY,Attorney General,,Liberty Union,Rosemarie Jackowski,1
Essex,GUILDHALL,Attorney General,,Liberty Union,Rosemarie Jackowski,2
Essex,LEMINGTON,Attorney General,,Liberty Union,Rosemarie Jackowski,3
Essex,LUNENBURG,Attorney General,,Liberty Union,Rosemarie Jackowski,15
Essex,MAIDSTONE,Attorney General,,Liberty Union,Rosemarie Jackowski,0
Essex,NORTON,Attorney General,,Liberty Union,Rosemarie Jackowski,3
Essex,VICTORY,Attorney General,,Liberty Union,Rosemarie Jackowski,2
Franklin,BAKERSFIELD,Attorney General,,Liberty Union,Rosemarie Jackowski,21
Franklin,BERKSHIRE,Attorney General,,Liberty Union,Rosemarie Jackowski,14
Franklin,ENOSBURGH,Attorney General,,Liberty Union,Rosemarie Jackowski,38
Franklin,FAIRFAX,Attorney General,,Liberty Union,Rosemarie Jackowski,62
Franklin,FAIRFIELD,Attorney General,,Liberty Union,Rosemarie Jackowski,17
Franklin,FLETCHER,Attorney General,,Liberty Union,Rosemarie Jackowski,11
Franklin,FRANKLIN,Attorney General,,Liberty Union,Rosemarie Jackowski,17
Franklin,GEORGIA,Attorney General,,Liberty Union,Rosemarie Jackowski,51
Franklin,HIGHGATE,Attorney General,,Liberty Union,Rosemarie Jackowski,36
Franklin,MONTGOMERY,Attorney General,,Liberty Union,Rosemarie Jackowski,29
Franklin,RICHFORD,Attorney General,,Liberty Union,Rosemarie Jackowski,29
Franklin,SAINT ALBANS CITY,Attorney General,,Liberty Union,Rosemarie Jackowski,73
Franklin,SAINT ALBANS TOWN,Attorney General,,Liberty Union,Rosemarie Jackowski,75
Franklin,SHELDON,Attorney General,,Liberty Union,Rosemarie Jackowski,20
Franklin,SWANTON,Attorney General,,Liberty Union,Rosemarie Jackowski,60
Grand Isle,ALBURGH,Attorney General,,Liberty Union,Rosemarie Jackowski,30
Grand Isle,GRAND ISLE,Attorney General,,Liberty Union,Rosemarie Jackowski,19
Grand Isle,ISLE LA MOTTE,Attorney General,,Liberty Union,Rosemarie Jackowski,7
Grand Isle,NORTH HERO,Attorney General,,Liberty Union,Rosemarie Jackowski,16
Grand Isle,SOUTH HERO,Attorney General,,Liberty Union,Rosemarie Jackowski,18
Lamoille,BELVIDERE,Attorney General,,Liberty Union,Rosemarie Jackowski,6
Lamoille,CAMBRIDGE,Attorney General,,Liberty Union,Rosemarie Jackowski,70
Lamoille,EDEN,Attorney General,,Liberty Union,Rosemarie Jackowski,11
Lamoille,ELMORE,Attorney General,,Liberty Union,Rosemarie Jackowski,19
Lamoille,HYDE PARK,Attorney General,,Liberty Union,Rosemarie Jackowski,42
Lamoille,JOHNSON,Attorney General,,Liberty Union,Rosemarie Jackowski,70
Lamoille,MORRISTOWN,Attorney General,,Liberty Union,Rosemarie Jackowski,82
Lamoille,STOWE,Attorney General,,Liberty Union,Rosemarie Jackowski,72
Lamoille,WATERVILLE,Attorney General,,Liberty Union,Rosemarie Jackowski,10
Lamoille,WOLCOTT,Attorney General,,Liberty Union,Rosemarie Jackowski,25
Orange,BRADFORD,Attorney General,,Liberty Union,Rosemarie Jackowski,41
Orange,BRAINTREE,Attorney General,,Liberty Union,Rosemarie Jackowski,23
Orange,BROOKFIELD,Attorney General,,Liberty Union,Rosemarie Jackowski,28
Orange,CHELSEA,Attorney General,,Liberty Union,Rosemarie Jackowski,30
Orange,CORINTH,Attorney General,,Liberty Union,Rosemarie Jackowski,31
Orange,FAIRLEE,Attorney General,,Liberty Union,Rosemarie Jackowski,21
Orange,NEWBURY,Attorney General,,Liberty Union,Rosemarie Jackowski,38
Orange,ORANGE,Attorney General,,Liberty Union,Rosemarie Jackowski,22
Orange,RANDOLPH,Attorney General,,Liberty Union,Rosemarie Jackowski,115
Orange,STRAFFORD,Attorney General,,Liberty Union,Rosemarie Jackowski,20
Orange,THETFORD,Attorney General,,Liberty Union,Rosemarie Jackowski,65
Orange,TOPSHAM,Attorney General,,Liberty Union,Rosemarie Jackowski,19
Orange,TUNBRIDGE,Attorney General,,Liberty Union,Rosemarie Jackowski,31
Orange,VERSHIRE,Attorney General,,Liberty Union,Rosemarie Jackowski,17
Orange,WASHINGTON,Attorney General,,Liberty Union,Rosemarie Jackowski,19
Orange,WEST FAIRLEE,Attorney General,,Liberty Union,Rosemarie Jackowski,24
Orange,WILLIAMSTOWN,Attorney General,,Liberty Union,Rosemarie Jackowski,41
