county,office,district,party,candidate,votes
Weber,State Auditor,,Republican,John Dougall,48374
Weber,State Auditor,,Independent American,Jared Green,5977
Weber,State House,7,Democratic,Floyd Handley,4363
Weber,State House,7,Republican,Justin Fawson,10182
Weber,State House,8,Republican,Gage Froerer,8923
Weber,State House,8,Democratic,Matthew Frandsen,4563
Weber,State House,9,Republican,Jeremy Peterson,5561
Weber,State House,9,Democratic,Kathie Darby,4426
Weber,State House,10,Democratic,Jesus Garcia,4252
Weber,State House,10,Republican,Dixon Pitcher,6128
Weber,State House,10,Libertarian,Derryck Gordon,788
Weber,State House,11,Democratic,Amy Morgan,4096
Weber,State House,11,Republican,Kelly Miles,6626
Weber,State House,12,Republican,Mike Schultz,10707
Weber,State House,29,Republican,Lee Perry,7877
Weber,State House,29,Democratic,Angela Urrea,1784
Weber,State Senate,19,Democratic,Deana Froerer,12534
Weber,State Senate,19,Republican,Allen Christensen,17362
Weber,State Senate,19,,Write-In,68
Weber,State Senate,20,Democratic,Alan Yorgason,8581
Weber,State Senate,20,Republican,Gregg Buxton,19426
Weber,State Treasurer,,Democratic,Neil Hansen,29227
Weber,State Treasurer,,Republican,David Damschen,45976
Weber,State Treasurer,,Constitution,Richard Proctor,5822
Weber,U.S. House,1,Libertarian,Craig Bowden,5441
Weber,U.S. House,1,Democratic,Peter Clemens,27861
Weber,U.S. House,1,,Chadwick Fairbanks,1628
Weber,U.S. House,1,Republican,Rob Bishop,49030
Weber,U.S. Senate,,Democratic,Misty Snow,24214
Weber,U.S. Senate,,Republican,Mike Lee,55278
Weber,U.S. Senate,,Independent American,Stoney Fonua,2216
Weber,U.S. Senate,,Independent,Bill Barron,1956
